when,results,yaseen,shufqat,submissions,change,from
2026-09-05T15:22:21+01:00,20,12,16,,added Yaseen (C) v Shufqat (C) 13-18; added Amriaz v Gaff 16-16; added Moody v Sam 14-10; added Moody v Raz 13-10; added Imran v Jabar 17-12; added Shahzad v Sid 15-16; added Bash v Haaris 21-15; added Nav v Raza 16-7; added Mansoor v Tab 10-16; added Waseem v Tariq 10-11; added Yaseen (C) v Tariq 17-17; added Bash v Jabar 12-19; added Waseem v Shufqat (C) 21-16; added Amriaz v Haaris 19-20; added Imran v Sid 10-15; added Waseem v Haaris 17-16; added Mansoor v Raz 18-19; added Nav v Jabar 13-16; added Imran v Tab 13-16; added Moody v Raza 13-15,bc05b7c
2026-09-07T16:49:10+01:00,20,12,16,,added Shaan v Sam 14-10 (Waseem); deleted Moody v Sam (Waseem),587c501
2026-09-07T19:29:36+01:00,22,12,19,,added Nav v Sid 14-23 (Waseem); added Shahzad v Tariq 9-10 (Waseem),75165d4
2026-09-08T07:27:06Z,24,16,19,,added Waseem v Gaff 27-22 (Waseem); added Waseem v Sam 27-1 (Waseem),4f0c02d
2026-09-08T08:23:53Z,23,14,19,,deleted Waseem v Gaff (Waseem),8587a65
2026-09-08T09:52:46Z,22,12,19,26,deleted Waseem v Sam (Waseem),ddec237
2026-09-09T00:09:48Z,22,12,19,26,no change,3319021
2026-09-09T07:46:38Z,23,12,21,27,added Waseem v Jabar 5-26 (Waseem),7dc4635
2026-09-09T07:49:33Z,22,12,19,28,deleted Waseem v Jabar (Waseem),c904980
2026-09-09T10:23:47Z,23,13,19,29,added Waseem v Jabar 27-26 (Waseem),5c0db7d
2026-09-09T10:25:23Z,22,12,19,30,deleted Waseem v Jabar (Waseem),5c71a6a
2026-09-09T13:20:39Z,23,12,20,31,added Waseem v Jabar 18-19 (Waseem),7053f45
2026-09-09T15:33:05Z,24,13,20,32,added Waseem v Gaff 27-26 (Waseem),363acd0
2026-09-09T15:34:39Z,23,12,20,33,deleted Waseem v Gaff (Waseem),4177c6c
